Trial Number, Response, Correct/Incorrect(1/0), RT, Condition, Difficulty, Colour Order (Single Grids Only)
79	left	0	1.289	b2,O2	Con - Hard 2 & Easy 2	
80	left	1	1.002	O1,O1	Exp - Easy 1 & Easy 1	
81	left	1	0.948	o1,O1	Con - Hard 1 & Easy 1	
82	left	1	0.773	o1,O1	Con - Hard 1 & Easy 1	
83	left	1	1.179	o2,O2	Con - Hard 2 & Easy 2	
84	right	1	1.064	B2,O2	Exp - Easy 2 & Easy 2	
85	right	1	1.070	B2,O2	Exp - Easy 2 & Easy 2	
86	right	1	2.065	O1,b1	Con - Easy 1 & Hard 1	
87	right	1	1.230	B2,O2	Exp - Easy 2 & Easy 2	
88	left	1	2.598	o1,O1	Con - Hard 1 & Easy 1	
89	right	1	1.567	B2,O2	Exp - Easy 2 & Easy 2	
90	right	1	0.934	b2,o2	Exp - Hard 2 & Hard 2	
91	left	1	2.264	o1,O1	Con - Hard 1 & Easy 1	
92	left	1	5.154	o2,o2	Exp - Hard 2 & Hard 2	
93	right	1	1.173	b2,O2	Con - Hard 2 & Easy 2	
94	left	1	3.516	o1,o1	Exp - Hard 1 & Hard 1	
95	left	1	1.007	O2,O2	Exp - Easy 2 & Easy 2	
96	right	1	3.952	b1,o1	Exp - Hard 1 & Hard 1	
97	right	1	1.292	b1,O1	Con - Hard 1 & Easy 1	
98	right	1	1.231	B2,O2	Exp - Easy 2 & Easy 2	
99	left	1	1.003	o2,o2	Exp - Hard 2 & Hard 2	
100	right	1	0.957	O1,b1	Con - Easy 1 & Hard 1	
101	left	1	1.224	O1,o1	Con - Easy 1 & Hard 1	
102	left	1	2.081	O2,O2	Exp - Easy 2 & Easy 2	
103	left	1	0.928	o2,O2	Con - Hard 2 & Easy 2	
104	right	0	4.166	O1,o1	Con - Easy 1 & Hard 1	
105	right	1	2.179	b2,o2	Exp - Hard 2 & Hard 2	
106	left	1	1.761	O1,o1	Con - Easy 1 & Hard 1	
107	left	1	1.145	O2,O2	Exp - Easy 2 & Easy 2	
108	left	1	1.707	O1,o1	Con - Easy 1 & Hard 1	
109	right	1	1.506	b2,O2	Con - Hard 2 & Easy 2	
110	right	0	4.004	o1,O1	Con - Hard 1 & Easy 1	
111	right	0	1.442	o2,o2	Exp - Hard 2 & Hard 2	
112	left	1	5.289	O2,o2	Exp - Easy 2 & Hard 2	
113	right	1	2.195	b2,o2	Exp - Hard 2 & Hard 2	
114	right	1	1.369	b2,o2	Exp - Hard 2 & Hard 2	
115	right	0	2.153	O2,o2	Exp - Easy 2 & Hard 2	
116	right	1	2.514	b2,o2	Exp - Hard 2 & Hard 2	
117	right	0	1.685	O2,O2	Exp - Easy 2 & Easy 2	
118	right	0	0.902	o2,o2	Exp - Hard 2 & Hard 2	
119	right	1	1.231	b1,O1	Con - Hard 1 & Easy 1	
120	right	1	0.998	b1,o1	Exp - Hard 1 & Hard 1	
121	right	1	0.917	b2,O2	Con - Hard 2 & Easy 2	
122	right	0	1.361	o1,o1	Exp - Hard 1 & Hard 1	
123	right	1	0.899	B1,O1	Exp - Easy 1 & Easy 1	
124	left	1	2.666	O1,o1	Con - Easy 1 & Hard 1	
125	right	0	4.751	O1,o1	Con - Easy 1 & Hard 1	
126	left	1	1.542	o2,O2	Con - Hard 2 & Easy 2	
127	left	0	2.547	O2,b2	Con - Easy 2 & Hard 2	
128	right	1	4.040	O2,b2	Con - Easy 2 & Hard 2	
129	left	1	2.692	o1,o1	Exp - Hard 1 & Hard 1	
130	left	1	0.980	O1,O1	Exp - Easy 1 & Easy 1	
131	left	0	3.582	b2,o2	Exp - Hard 2 & Hard 2	
132	right	0	1.498	O2,o2	Exp - Easy 2 & Hard 2	
133	left	1	0.834	o2,O2	Con - Hard 2 & Easy 2	
134	left	0	0.831	O2,b2	Con - Easy 2 & Hard 2	
135	right	1	1.352	b1,O1	Con - Hard 1 & Easy 1	
