Trial Number, Response, Correct/Incorrect(1/0), RT, Condition, Difficulty, Colour Order (Single Grids Only)
102	right	0	0.866	O2,o2	Exp - Easy 2 & Hard 2	
103	right	1	1.018	b1,o1	Exp - Hard 1 & Hard 1	
104	right	1	2.688	O1,b1	Con - Easy 1 & Hard 1	
105	left	1	1.294	O1,O1	Exp - Easy 1 & Easy 1	
106	right	1	0.950	B2,O2	Exp - Easy 2 & Easy 2	
107	right	1	1.587	b2,o2	Exp - Hard 2 & Hard 2	
108	right	1	0.833	B1,O1	Exp - Easy 1 & Easy 1	
109	right	0	0.935	o1,o1	Exp - Hard 1 & Hard 1	
110	left	1	3.474	o1,o1	Exp - Hard 1 & Hard 1	
111	right	1	0.775	b2,O2	Con - Hard 2 & Easy 2	
112	right	1	0.677	O1,b1	Con - Easy 1 & Hard 1	
113	right	0	0.892	o2,O2	Con - Hard 2 & Easy 2	
114	right	1	1.092	b1,O1	Con - Hard 1 & Easy 1	
115	right	0	0.978	o2,O2	Con - Hard 2 & Easy 2	
116	right	0	1.341	o2,O2	Con - Hard 2 & Easy 2	
117	right	1	1.294	O2,b2	Con - Easy 2 & Hard 2	
118	right	1	1.127	B1,O1	Exp - Easy 1 & Easy 1	
119	right	1	0.584	B2,O2	Exp - Easy 2 & Easy 2	
120	right	0	0.591	o2,o2	Exp - Hard 2 & Hard 2	
121	right	1	0.632	b2,O2	Con - Hard 2 & Easy 2	
122	right	0	0.670	o1,o1	Exp - Hard 1 & Hard 1	
123	right	1	0.896	O1,b1	Con - Easy 1 & Hard 1	
124	right	1	0.610	B2,O2	Exp - Easy 2 & Easy 2	
125	right	1	0.653	O1,b1	Con - Easy 1 & Hard 1	
126	right	0	0.629	o1,o1	Exp - Hard 1 & Hard 1	
127	right	1	0.672	b1,O1	Con - Hard 1 & Easy 1	
128	right	1	0.634	b1,O1	Con - Hard 1 & Easy 1	
129	right	1	0.834	O2,b2	Con - Easy 2 & Hard 2	
130	right	0	0.668	o1,o1	Exp - Hard 1 & Hard 1	
131	right	0	0.692	O2,O2	Exp - Easy 2 & Easy 2	
132	left	1	2.341	O1,O1	Exp - Easy 1 & Easy 1	
133	right	1	0.712	B1,O1	Exp - Easy 1 & Easy 1	
134	right	0	0.760	O2,O2	Exp - Easy 2 & Easy 2	
135	left	1	0.698	O1,O1	Exp - Easy 1 & Easy 1	
